procedure,calls,inclusive_time,exclusive_time
ADD,5269450,1443.9227,1443.9227
PICK.PATCH,1135,4.0551,4.0551
SUBTRACT,1195850,536.6855,536.6855
MAGNITUDE,8406574,2664.7339,2664.7339
SET.FIRST.BEHAVIOR,480,2.0047,2.0047
SCALE,5186362,1391.5159,1391.5159
NORMALIZE,5186541,3167.2349,1588.1007
SPACING-URGE,402560,608.6799,419.7267
ALIGN-URGE,402560,782.6821,782.6821
ADVANCE-CLOCK,114,0.8965,0.8965
GO,115,31442.2889,325.2856
SET.BEHAVIOR,5760,59.8227,55.7676
DO.DDIVER.MOVEMENT,1140,88.0858,88.0858
D.COUNT.FISHES,114,8.2715,8.2715
REST-URGE,263800,233.3743,56.6206
FORGET.FISHES,114,6.2933,6.2933
AVOID-PREDATOR-URGE,691200,1490.6456,1490.6456
CENTER-URGE,402560,519.8805,519.8805
PATCH-CENTER-URGE,101120,90.0342,90.0342
OCCURRENCES,2,0.1449,0.1449
ADD-URGE,3646200,5453.9733,1232.2896
AVOID-DIVER-URGE,691200,577.8713,577.2152
DO.OUTPUTS,1,0,2.1018
DO.FISH.MOVEMENT,691200,37355.6803,24312.3966
WANDER-URGE,691200,249.2305,249.2305
